139,M,NA,NA,NA
140,M,42,172,80
140,M,46,172,80
141,F,30,167,58
141,F,30,167,58
142,M,26,183,75
143,M,21,184,87
144,M,23,179,80
145,M,24,175,70
145,M,28,175,70
145,M,28,175,70
145,M,19,179,71
146,F,41,160,57
147,F,21,164,63
148,F,30,163,52
149,F,23,NA,NA
150,F,42,NA,NA
151,M,34,185,91
152,F,23,191,88
153,F,40,165,57
154,M,22,185,98
154,M,26,185,98
154,M,34,185,98
155,M,23,195,94
156,M,22,192,83
156,M,26,192,83
157,F,21,NA,NA
158,F,15,167,60
158,F,15,167,60
158,F,19,167,60
159,M,25,163,57
160,M,28,203,97
161,M,25,NA,NA
161,M,29,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
162,M,NA,NA,NA
163,M,22,NA,NA
164,F,20,175,56
165,M,21,168,57
165,M,29,168,57
166,M,NA,NA,NA
167,M,23,169,68
168,F,19,158,49
169,F,18,172,61
170,M,25,174,70
171,M,32,168,68
172,M,NA,170,69
173,M,19,NA,NA
174,M,31,NA,NA
175,M,NA,NA,NA
176,M,23,174,69
177,M,23,180,56
177,M,32,180,56
178,M,NA,176,73
178,M,NA,176,73
179,F,18,154,48
179,F,22,154,48
180,F,18,153,46
181,M,29,NA,NA
182,M,NA,NA,NA
183,M,30,186,100
184,M,31,NA,NA
184,M,31,NA,NA
184,M,31,NA,NA
184,M,35,NA,NA
184,M,35,NA,NA
185,M,NA,NA,NA
186,M,32,152,52
187,M,24,193,82
188,M,NA,162,57
189,M,NA,NA,NA
190,M,20,NA,NA
191,M,25,189,85
192,M,21,NA,NA
192,M,21,NA,NA
192,M,21,NA,NA
192,M,25,NA,NA
192,M,25,NA,NA
192,M,33,NA,NA
193,M,NA,176,67
194,M,24,NA,81
194,M,32,NA,81
195,M,24,183,76
196,M,28,172,68
197,M,29,NA,NA
198,M,23,178,67
198,M,27,178,67
199,M,24,NA,NA
200,M,25,188,92
201,M,19,198,80
201,M,23,198,80
202,M,23,197,87
202,M,31,197,87
203,M,21,176,74
204,M,24,NA,NA
205,M,18,NA,NA
205,M,22,NA,NA
206,M,21,NA,NA
206,M,33,NA,NA
206,M,33,NA,NA
206,M,37,NA,NA
206,M,37,NA,NA
206,M,37,NA,NA
206,M,37,NA,NA
207,M,20,NA,NA
208,M,NA,NA,NA
209,M,27,188,79
210,M,16,NA,NA
210,M,21,NA,NA
210,M,21,NA,NA
211,M,30,180,120
212,M,28,170,60
212,M,36,170,60
212,M,36,170,60
213,M,21,NA,NA
214,M,21,190,83
215,M,26,190,95
216,M,22,165,48
217,M,27,195,95
218,M,28,NA,NA
219,M,NA,NA,NA
220,M,24,NA,NA
221,M,22,157,48
222,M,19,NA,NA
222,M,19,NA,NA
222,M,19,NA,NA
222,M,19,NA,NA
222,M,19,NA,NA
222,M,19,NA,NA
222,M,19,NA,NA
222,M,19,NA,NA
223,M,NA,NA,NA
224,F,23,165,57
224,F,27,165,57
224,F,35,165,57
225,M,NA,NA,NA
226,M,27,188,89
227,M,24,176,60
228,M,26,175,81
229,M,NA,NA,NA
229,M,NA,NA,NA
229,M,NA,NA,NA
229,M,NA,NA,NA
229,M,NA,NA,NA
229,M,NA,NA,NA
229,M,NA,NA,NA
229,M,NA,NA,NA
230,M,41,NA,NA
231,M,24,173,77
231,M,28,173,77
232,F,17,159,51
233,M,21,170,58
234,M,25,NA,NA
235,M,21,170,94
235,M,25,170,94
236,M,20,NA,NA
237,M,36,170,70
237,M,40,170,70
238,M,23,184,68
239,F,19,160,46
240,M,23,170,60
241,M,20,165,60
242,M,23,194,96
243,M,22,167,63
243,M,22,167,63
243,M,22,167,63
243,M,22,167,63
243,M,22,167,63
244,M,21,NA,NA
245,M,26,207,90
246,M,24,170,63
247,M,19,170,63
247,M,23,170,63
248,F,22,173,60
248,F,26,173,60
249,M,22,170,80
249,M,26,170,80
250,M,27,176,56
250,M,27,176,56
251,M,30,178,66
251,M,34,178,66
252,M,19,177,65
252,M,23,177,65
253,M,21,170,57
253,M,25,170,57
254,M,21,NA,NA
254,M,21,NA,NA
254,M,29,NA,NA
254,M,29,NA,NA
254,M,29,NA,NA
254,M,29,NA,NA
254,M,41,NA,NA
255,M,23,178,61
255,M,27,178,61
255,M,31,178,61
255,M,35,178,61
256,M,19,169,74
256,M,23,169,74
256,M,27,169,74
257,M,17,NA,NA
258,F,21,173,59
258,F,21,173,59
258,F,21,173,59
259,M,NA,NA,NA
260,M,24,183,75
261,M,26,176,60
